macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,205,627,1947,4128,91,370,1296,5894,157,538,1607,3574,89,302,1093,4844,191,526,1706,3582,102,362,1176,5140,167,557,1630,3404,90,288,1094,4674,167,524,1605,3138,92,323,1049,4368,134,510,1394,2954,80,302,996,4085,177,595,1685,3824,100,332,1195,5705,165,567,1591,3103,106,305,1084,4796,167,453,1362,2681,68,308,955,3878,139,518,1513,3068,88,309,1024,4271,135,535,1583,3367,91,321,1062,4569,184,531,1837,3880,93,352,1222,5368
isole,159,510,1483,2419,80,263,960,3249,110,372,1136,2020,73,218,807,2738,143,366,1124,1963,61,269,762,2890,108,353,1008,1746,56,217,669,2413,111,327,1009,1573,66,204,666,2169,102,384,887,1525,69,172,635,2214,146,377,1092,1862,72,227,781,2695,117,328,973,1646,63,210,698,2367,112,301,844,1360,60,186,631,1849,111,286,915,1431,58,210,609,1885,84,312,868,1559,57,193,600,2033,110,331,1053,1852,59,245,758,2545
nord,411,1526,4950,9596,266,841,3153,13511,328,1139,3791,7800,196,675,2497,10756,380,1252,3719,7426,203,734,2558,10946,365,1103,3562,7267,215,676,2389,10272,374,1262,3530,6951,216,706,2413,10053,397,1197,3302,6563,217,700,2356,9418,448,1304,4016,8407,229,751,2732,12544,419,1242,3599,7377,224,708,2468,11087,375,1249,3407,6633,205,709,2285,9438,371,1211,3757,7555,214,702,2508,10494,348,1118,3683,7792,238,716,2545,11015,413,1272,4290,9585,214,776,2915,13614
sud,312,879,2567,4379,160,522,1709,5941,217,728,2123,3593,119,442,1365,5106,257,754,2223,3795,148,429,1550,5371,226,729,1971,3406,121,439,1396,4658,244,708,1900,3196,150,425,1295,4569,247,655,1806,2895,139,368,1234,4344,257,771,2107,3518,151,442,1448,5366,255,656,1957,3146,133,433,1357,4433,217,657,1753,2751,141,407,1236,3742,224,724,1905,2980,128,420,1224,4168,227,652,1899,3122,141,382,1261,4342,246,745,2245,3780,130,475,1490,5210
