macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,257,620,1886,3381,152,364,1358,5170,213,546,1874,3397,143,361,1156,4913,214,573,1727,3304,116,374,1289,4933,202,519,1677,2900,101,327,1137,4361,211,498,1606,2661,108,292,1063,3914,224,489,1569,2522,118,295,958,3698,232,536,1619,3026,117,354,1176,4721,200,450,1532,2546,128,284,1004,3781,205,538,1498,2497,119,317,1006,3583,182,489,1533,2716,114,320,1060,3844,176,465,1544,2695,112,321,1040,3724,204,555,1627,2984,107,314,1118,4271
isole,153,387,1083,1681,99,205,759,2455,127,341,1055,1732,71,193,761,2424,151,384,1091,1772,87,204,752,2562,140,316,925,1477,68,200,676,2130,138,305,898,1344,69,174,600,1862,134,311,874,1250,83,207,562,1787,139,288,892,1332,65,200,650,1994,141,301,940,1287,74,210,589,1894,141,360,805,1245,86,212,640,1825,117,307,831,1225,69,209,595,1729,120,287,826,1328,66,175,573,1700,113,355,920,1620,84,189,626,2212
nord,547,1373,4519,7567,344,852,3155,12268,488,1259,4318,7341,271,731,2769,11467,485,1313,4397,7019,257,763,2889,11380,459,1188,3769,6041,270,730,2573,10061,413,1128,3514,5552,272,652,2362,8638,475,1147,3587,5469,233,652,2313,8649,538,1296,3939,6330,264,694,2655,10705,458,1077,3603,5606,260,682,2439,9097,452,1122,3590,5426,266,713,2310,8483,444,1201,3856,6086,269,705,2509,9305,402,1083,3621,5951,208,649,2362,8858,362,1225,3933,6550,240,699,2563,9871
sud,321,845,2292,3603,200,525,1610,5343,293,693,2112,3255,154,463,1467,4789,289,675,2160,3365,164,471,1478,4943,271,655,1864,2990,171,416,1287,4317,293,686,1797,2631,156,396,1206,3728,283,649,1727,2453,135,362,1154,3593,315,723,1907,2956,155,378,1308,4597,272,625,1720,2678,180,361,1232,3894,285,633,1785,2425,153,346,1198,3597,256,666,1800,2608,160,386,1273,3672,265,644,1817,2800,144,359,1231,3855,248,646,1928,3133,129,388,1268,4166
