macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre,anno
nord,478,1356,4821,9255,248,859,3308,14480,410,1192,3984,7002,253,733,2651,11324,445,1188,4122,6853,277,748,2696,10787,373,1007,3332,5566,234,598,2215,8578,436,1207,4016,6536,232,716,2654,9927,459,1095,3393,5721,233,636,2348,8531,420,1067,3419,5444,225,644,2255,8203,495,1174,3602,5851,255,650,2439,9167,416,1052,3359,5371,247,678,2247,8206,400,1160,3707,6645,282,702,2404,9643,368,1100,3733,6624,229,717,2498,9392,338,1112,3596,6648,215,675,2432,9919,2017
sud,310,904,2529,4357,199,494,1780,6619,262,613,1899,3110,144,416,1323,4580,282,723,2072,3213,160,429,1346,4690,238,651,1719,2639,132,339,1152,3773,264,734,1932,2969,170,421,1279,4099,235,603,1736,2469,166,327,1103,3754,299,637,1684,2626,169,357,1217,3782,291,675,1819,2991,166,377,1301,4635,228,647,1810,2474,142,381,1178,3454,265,710,1806,2808,131,415,1196,3798,240,662,1858,3021,153,382,1184,3887,209,643,1902,3141,123,391,1239,4420,2017
centro,215,599,1911,3569,137,423,1308,5420,175,503,1550,2961,116,333,1118,4410,182,509,1666,3255,127,292,1135,4748,168,491,1437,2741,114,313,943,3957,178,460,1548,2770,114,298,1076,3884,161,471,1388,2376,112,312,898,3478,162,460,1473,2641,121,300,936,3793,186,481,1402,2688,95,296,1007,4024,146,433,1389,2433,89,307,925,3467,192,543,1562,2958,116,305,1106,4170,176,462,1464,2884,96,283,1012,4091,171,513,1468,3076,85,296,1025,4326,2018
isole,173,403,1214,1898,112,281,860,2729,119,392,986,1635,70,215,705,2356,139,330,1065,1664,74,209,702,2384,129,351,836,1456,57,208,579,2047,123,282,898,1305,82,205,613,1872,122,282,870,1209,59,184,521,1686,129,305,858,1326,67,198,570,1838,126,277,794,1307,66,182,564,1764,115,276,772,1206,73,154,554,1600,99,300,843,1357,68,177,632,1938,121,318,868,1453,59,171,542,1894,95,310,858,1515,61,192,598,1979,2018
nord,521,1470,4737,8513,343,858,3130,13478,440,1238,3946,6828,243,746,2610,10751,435,1225,4037,7184,230,725,2663,11009,398,1078,3473,5886,258,670,2253,9228,414,1247,3714,6239,279,721,2404,9295,414,1135,3385,5421,204,656,2236,8187,420,1048,3251,5660,232,674,2225,8731,448,1189,3600,6512,271,697,2396,9740,371,1079,3221,5388,231,673,2105,8363,401,1191,4016,6825,242,714,2563,10131,407,1100,3547,6349,239,686,2294,9438,371,1115,3567,6653,206,636,2382,9776,2018
sud,362,835,2373,3811,185,503,1653,5591,256,694,1910,3130,145,429,1325,4448,271,723,2022,3154,169,417,1293,4555,288,666,1747,2698,134,358,1140,3928,261,679,1812,2818,148,421,1191,3874,278,550,1563,2389,132,340,1049,3392,256,617,1649,2495,138,410,1080,3619,279,626,1668,2635,134,396,1135,3641,235,607,1650,2340,151,343,1082,3382,278,675,1810,2864,147,400,1213,3960,236,604,1803,2849,147,372,1169,4016,219,673,1817,3057,117,379,1184,4293,2018
centro,174,589,1818,3623,138,359,1294,5182,181,561,1654,3253,106,359,1055,4721,191,569,1655,3140,102,322,1126,4616,146,494,1443,2902,105,307,1050,4107,164,503,1491,2811,120,311,1001,3987,178,485,1401,2791,111,291,959,4164,173,483,1461,2845,120,305,1028,4143,188,486,1446,2634,84,289,957,3865,138,461,1343,2496,107,285,898,3602,142,486,1415,2729,94,329,955,3779,117,465,1380,2800,97,275,979,3797,144,474,1399,2979,101,299,988,4008,2019
isole,148,386,1171,1982,68,271,809,2863,124,329,955,1715,60,186,684,2408,137,368,1023,1711,77,200,724,2397,100,321,877,1539,59,207,624,2177,122,294,895,1433,60,177,622,1905,129,313,843,1313,61,184,600,2060,137,309,860,1358,80,174,564,1959,110,297,851,1381,64,192,608,1919,102,288,792,1192,59,163,587,1634,124,276,836,1292,73,177,578,1687,103,288,848,1462,57,172,529,1838,89,300,890,1517,53,189,595,2044,2019
nord,456,1279,4285,7904,241,818,2747,11956,428,1183,3925,7554,223,712,2551,11318,419,1198,3699,6998,234,743,2532,10704,365,1063,3467,6351,217,650,2227,9263,397,1128,3456,6245,227,701,2368,9214,463,1150,3408,6213,207,702,2288,9517,450,1154,3561,6228,228,672,2255,9430,445,1092,3378,5981,229,698,2238,8732,395,1081,3265,5820,230,634,2075,8452,364,1169,3605,6490,218,700,2397,9598,355,1146,3425,6641,208,689,2337,9560,393,1138,3658,7179,213,657,2396,10233,2019
sud,309,835,2379,3833,182,516,1603,5457,266,725,2007,3196,146,451,1464,4791,276,686,1922,3247,153,412,1380,4792,232,615,1695,2955,126,394,1150,4115,221,557,1791,2821,130,382,1121,3833,263,636,1723,2806,121,395,1145,4043,225,618,1706,2795,140,381,1153,3969,255,636,1638,2697,134,360,1087,3801,210,563,1584,2501,127,344,1017,3388,193,604,1611,2609,138,369,1072,3594,206,603,1644,2769,109,407,1093,3795,216,649,1804,3042,121,380,1131,4159,2019
