macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,192,487,1657,2947,140,317,1152,4276,162,504,1539,2850,120,319,1110,4121,201,539,1712,3035,112,322,1203,4441,188,540,1575,2910,119,296,1113,3975,211,515,1614,2750,120,304,1119,4009,193,477,1407,2419,115,298,1046,3532,201,467,1418,2508,106,280,997,3751,227,514,1502,2556,141,305,980,3687,183,459,1410,2396,136,288,922,3519,174,516,1588,2853,141,297,1079,4010,174,497,1559,2956,122,363,1086,4178,169,528,1678,3238,107,347,1156,4817
isole,134,350,998,1600,94,240,696,2155,107,346,1004,1608,96,193,691,2207,114,318,1097,1686,83,202,719,2275,121,314,872,1376,69,154,623,1964,131,347,890,1336,68,173,609,1774,136,289,805,1258,84,193,569,1710,124,258,807,1169,79,165,543,1689,153,328,842,1298,82,192,581,1770,113,313,829,1219,74,204,548,1606,124,285,875,1250,69,195,581,1684,121,322,881,1355,71,179,616,1821,127,328,856,1589,61,179,625,2074
nord,465,1221,3928,6409,255,752,2619,10091,416,1195,4003,6508,268,714,2619,10142,450,1224,4112,6527,246,669,2614,10328,380,1104,3645,5615,251,653,2341,8815,458,1212,3726,6183,287,643,2542,9062,472,1062,3542,5392,241,650,2236,8311,450,1120,3369,5377,246,619,2290,8269,423,1184,3669,5891,274,695,2379,8764,406,1152,3437,5544,243,609,2224,8309,406,1141,3727,6100,227,656,2392,8993,413,1137,3764,6311,280,680,2444,9546,375,1077,3946,6974,229,678,2464,10554
sud,309,688,2039,3102,171,415,1412,4363,291,715,1880,2943,163,396,1291,4369,284,733,1957,3054,174,366,1304,4300,259,639,1889,2686,127,401,1245,3908,240,671,1764,2701,164,396,1208,3815,264,610,1705,2445,138,364,1082,3473,251,615,1651,2420,132,377,1087,3432,277,627,1705,2463,155,404,1126,3566,272,623,1665,2465,160,361,1059,3522,246,626,1798,2566,156,397,1210,3789,245,662,1778,2875,150,370,1268,3964,241,673,1968,3355,150,395,1315,4660
