macroarea,anno,decessi,sesso,mese,fascia_eta,mese_num
nord,2022,266,femmine,gennaio,0_49,1
sud,2022,160,femmine,gennaio,0_49,1
centro,2023,91,femmine,gennaio,0_49,1
isole,2023,73,femmine,gennaio,0_49,1
nord,2023,241,femmine,gennaio,0_49,1
sud,2023,158,femmine,gennaio,0_49,1
centro,2024,102,femmine,gennaio,0_49,1
isole,2024,59,femmine,gennaio,0_49,1
nord,2024,229,femmine,gennaio,0_49,1
sud,2024,142,femmine,gennaio,0_49,1
centro,2015,364,femmine,gennaio,50_64,1
isole,2015,205,femmine,gennaio,50_64,1
nord,2015,852,femmine,gennaio,50_64,1
sud,2015,525,femmine,gennaio,50_64,1
centro,2016,317,femmine,gennaio,50_64,1
isole,2016,240,femmine,gennaio,50_64,1
nord,2016,752,femmine,gennaio,50_64,1
sud,2016,415,femmine,gennaio,50_64,1
centro,2017,457,femmine,gennaio,50_64,1
isole,2017,212,femmine,gennaio,50_64,1
nord,2017,859,femmine,gennaio,50_64,1
sud,2017,494,femmine,gennaio,50_64,1
centro,2018,423,femmine,gennaio,50_64,1
isole,2018,281,femmine,gennaio,50_64,1
nord,2018,858,femmine,gennaio,50_64,1
sud,2018,503,femmine,gennaio,50_64,1
centro,2019,359,femmine,gennaio,50_64,1
isole,2019,271,femmine,gennaio,50_64,1
nord,2019,818,femmine,gennaio,50_64,1
sud,2019,516,femmine,gennaio,50_64,1
centro,2020,303,femmine,gennaio,50_64,1
isole,2020,231,femmine,gennaio,50_64,1
nord,2020,815,femmine,gennaio,50_64,1
sud,2020,464,femmine,gennaio,50_64,1
centro,2021,379,femmine,gennaio,50_64,1
isole,2021,227,femmine,gennaio,50_64,1
nord,2021,850,femmine,gennaio,50_64,1
sud,2021,483,femmine,gennaio,50_64,1
centro,2022,370,femmine,gennaio,50_64,1
isole,2022,263,femmine,gennaio,50_64,1
nord,2022,841,femmine,gennaio,50_64,1
sud,2022,522,femmine,gennaio,50_64,1
centro,2023,380,femmine,gennaio,50_64,1
isole,2023,233,femmine,gennaio,50_64,1
nord,2023,774,femmine,gennaio,50_64,1
sud,2023,462,femmine,gennaio,50_64,1
centro,2024,365,femmine,gennaio,50_64,1
isole,2024,267,femmine,gennaio,50_64,1
nord,2024,771,femmine,gennaio,50_64,1
sud,2024,504,femmine,gennaio,50_64,1
centro,2015,1358,femmine,gennaio,65_79,1
isole,2015,759,femmine,gennaio,65_79,1
nord,2015,3155,femmine,gennaio,65_79,1
sud,2015,1610,femmine,gennaio,65_79,1
centro,2016,1152,femmine,gennaio,65_79,1
isole,2016,696,femmine,gennaio,65_79,1
nord,2016,2619,femmine,gennaio,65_79,1
sud,2016,1412,femmine,gennaio,65_79,1
centro,2017,1490,femmine,gennaio,65_79,1
isole,2017,846,femmine,gennaio,65_79,1
nord,2017,3308,femmine,gennaio,65_79,1
sud,2017,1780,femmine,gennaio,65_79,1
centro,2018,1308,femmine,gennaio,65_79,1
isole,2018,860,femmine,gennaio,65_79,1
nord,2018,3130,femmine,gennaio,65_79,1
sud,2018,1653,femmine,gennaio,65_79,1
centro,2019,1294,femmine,gennaio,65_79,1
isole,2019,809,femmine,gennaio,65_79,1
nord,2019,2747,femmine,gennaio,65_79,1
sud,2019,1603,femmine,gennaio,65_79,1
centro,2020,1147,femmine,gennaio,65_79,1
isole,2020,714,femmine,gennaio,65_79,1
nord,2020,2524,femmine,gennaio,65_79,1
sud,2020,1393,femmine,gennaio,65_79,1
centro,2021,1317,femmine,gennaio,65_79,1
isole,2021,804,femmine,gennaio,65_79,1
nord,2021,3095,femmine,gennaio,65_79,1
sud,2021,1605,femmine,gennaio,65_79,1
centro,2022,1296,femmine,gennaio,65_79,1
isole,2022,960,femmine,gennaio,65_79,1
nord,2022,3153,femmine,gennaio,65_79,1
sud,2022,1709,femmine,gennaio,65_79,1
centro,2023,1282,femmine,gennaio,65_79,1
isole,2023,877,femmine,gennaio,65_79,1
nord,2023,2840,femmine,gennaio,65_79,1
sud,2023,1640,femmine,gennaio,65_79,1
centro,2024,1278,femmine,gennaio,65_79,1
isole,2024,820,femmine,gennaio,65_79,1
nord,2024,2834,femmine,gennaio,65_79,1
sud,2024,1547,femmine,gennaio,65_79,1
centro,2015,5170,femmine,gennaio,80_plus,1
isole,2015,2455,femmine,gennaio,80_plus,1
nord,2015,12268,femmine,gennaio,80_plus,1
sud,2015,5343,femmine,gennaio,80_plus,1
centro,2016,4276,femmine,gennaio,80_plus,1
isole,2016,2155,femmine,gennaio,80_plus,1
nord,2016,10091,femmine,gennaio,80_plus,1
sud,2016,4363,femmine,gennaio,80_plus,1
centro,2017,6482,femmine,gennaio,80_plus,1
isole,2017,2860,femmine,gennaio,80_plus,1
nord,2017,14480,femmine,gennaio,80_plus,1
sud,2017,6619,femmine,gennaio,80_plus,1
centro,2018,5420,femmine,gennaio,80_plus,1
isole,2018,2729,femmine,gennaio,80_plus,1
nord,2018,13478,femmine,gennaio,80_plus,1
sud,2018,5591,femmine,gennaio,80_plus,1
centro,2019,5182,femmine,gennaio,80_plus,1
isole,2019,2863,femmine,gennaio,80_plus,1
nord,2019,11956,femmine,gennaio,80_plus,1
sud,2019,5457,femmine,gennaio,80_plus,1
centro,2020,4886,femmine,gennaio,80_plus,1
isole,2020,2550,femmine,gennaio,80_plus,1
nord,2020,11195,femmine,gennaio,80_plus,1
sud,2020,5098,femmine,gennaio,80_plus,1
centro,2021,5627,femmine,gennaio,80_plus,1
isole,2021,2923,femmine,gennaio,80_plus,1
nord,2021,14125,femmine,gennaio,80_plus,1
sud,2021,5563,femmine,gennaio,80_plus,1
centro,2022,5894,femmine,gennaio,80_plus,1
isole,2022,3249,femmine,gennaio,80_plus,1
nord,2022,13511,femmine,gennaio,80_plus,1
sud,2022,5941,femmine,gennaio,80_plus,1
centro,2023,5526,femmine,gennaio,80_plus,1
isole,2023,2915,femmine,gennaio,80_plus,1
nord,2023,12437,femmine,gennaio,80_plus,1
sud,2023,5745,femmine,gennaio,80_plus,1
centro,2024,5156,femmine,gennaio,80_plus,1
isole,2024,2688,femmine,gennaio,80_plus,1
nord,2024,12139,femmine,gennaio,80_plus,1
sud,2024,5257,femmine,gennaio,80_plus,1
centro,2015,213,maschi,febbraio,0_49,2
isole,2015,127,maschi,febbraio,0_49,2
nord,2015,488,maschi,febbraio,0_49,2
sud,2015,293,maschi,febbraio,0_49,2
centro,2016,162,maschi,febbraio,0_49,2
isole,2016,107,maschi,febbraio,0_49,2
nord,2016,416,maschi,febbraio,0_49,2
sud,2016,291,maschi,febbraio,0_49,2
centro,2017,190,maschi,febbraio,0_49,2
isole,2017,141,maschi,febbraio,0_49,2
nord,2017,410,maschi,febbraio,0_49,2
sud,2017,262,maschi,febbraio,0_49,2
centro,2018,175,maschi,febbraio,0_49,2
isole,2018,119,maschi,febbraio,0_49,2
nord,2018,440,maschi,febbraio,0_49,2
sud,2018,256,maschi,febbraio,0_49,2
centro,2019,181,maschi,febbraio,0_49,2
isole,2019,124,maschi,febbraio,0_49,2
nord,2019,428,maschi,febbraio,0_49,2
sud,2019,266,maschi,febbraio,0_49,2
centro,2020,145,maschi,febbraio,0_49,2
isole,2020,145,maschi,febbraio,0_49,2
nord,2020,387,maschi,febbraio,0_49,2
sud,2020,233,maschi,febbraio,0_49,2
centro,2021,152,maschi,febbraio,0_49,2
isole,2021,99,maschi,febbraio,0_49,2
nord,2021,341,maschi,febbraio,0_49,2
sud,2021,239,maschi,febbraio,0_49,2
centro,2022,157,maschi,febbraio,0_49,2
isole,2022,110,maschi,febbraio,0_49,2
nord,2022,328,maschi,febbraio,0_49,2
sud,2022,217,maschi,febbraio,0_49,2
centro,2023,146,maschi,febbraio,0_49,2
isole,2023,125,maschi,febbraio,0_49,2
nord,2023,311,maschi,febbraio,0_49,2
sud,2023,278,maschi,febbraio,0_49,2
centro,2024,147,maschi,febbraio,0_49,2
isole,2024,95,maschi,febbraio,0_49,2
nord,2024,328,maschi,febbraio,0_49,2
sud,2024,212,maschi,febbraio,0_49,2
centro,2015,546,maschi,febbraio,50_64,2
isole,2015,341,maschi,febbraio,50_64,2
nord,2015,1259,maschi,febbraio,50_64,2
sud,2015,693,maschi,febbraio,50_64,2
centro,2016,504,maschi,febbraio,50_64,2
isole,2016,346,maschi,febbraio,50_64,2
nord,2016,1195,maschi,febbraio,50_64,2
sud,2016,715,maschi,febbraio,50_64,2
centro,2017,506,maschi,febbraio,50_64,2
isole,2017,337,maschi,febbraio,50_64,2
nord,2017,1192,maschi,febbraio,50_64,2
sud,2017,613,maschi,febbraio,50_64,2
centro,2018,503,maschi,febbraio,50_64,2
isole,2018,392,maschi,febbraio,50_64,2
nord,2018,1238,maschi,febbraio,50_64,2
sud,2018,694,maschi,febbraio,50_64,2
centro,2019,561,maschi,febbraio,50_64,2
isole,2019,329,maschi,febbraio,50_64,2
nord,2019,1183,maschi,febbraio,50_64,2
sud,2019,725,maschi,febbraio,50_64,2
centro,2020,483,maschi,febbraio,50_64,2
isole,2020,321,maschi,febbraio,50_64,2
nord,2020,1111,maschi,febbraio,50_64,2
sud,2020,728,maschi,febbraio,50_64,2
centro,2021,563,maschi,febbraio,50_64,2
isole,2021,381,maschi,febbraio,50_64,2
nord,2021,1267,maschi,febbraio,50_64,2
sud,2021,787,maschi,febbraio,50_64,2
centro,2022,538,maschi,febbraio,50_64,2
isole,2022,372,maschi,febbraio,50_64,2
nord,2022,1139,maschi,febbraio,50_64,2
sud,2022,728,maschi,febbraio,50_64,2
centro,2023,563,maschi,febbraio,50_64,2
isole,2023,373,maschi,febbraio,50_64,2
nord,2023,1184,maschi,febbraio,50_64,2
sud,2023,710,maschi,febbraio,50_64,2
centro,2024,505,maschi,febbraio,50_64,2
isole,2024,334,maschi,febbraio,50_64,2
nord,2024,1055,maschi,febbraio,50_64,2
sud,2024,674,maschi,febbraio,50_64,2
centro,2015,1874,maschi,febbraio,65_79,2
isole,2015,1055,maschi,febbraio,65_79,2
nord,2015,4318,maschi,febbraio,65_79,2
sud,2015,2112,maschi,febbraio,65_79,2
centro,2016,1539,maschi,febbraio,65_79,2
isole,2016,1004,maschi,febbraio,65_79,2
nord,2016,4003,maschi,febbraio,65_79,2
sud,2016,1880,maschi,febbraio,65_79,2
centro,2017,1697,maschi,febbraio,65_79,2
isole,2017,994,maschi,febbraio,65_79,2
nord,2017,3984,maschi,febbraio,65_79,2
sud,2017,1899,maschi,febbraio,65_79,2
centro,2018,1550,maschi,febbraio,65_79,2
isole,2018,986,maschi,febbraio,65_79,2
nord,2018,3946,maschi,febbraio,65_79,2
sud,2018,1910,maschi,febbraio,65_79,2
centro,2019,1654,maschi,febbraio,65_79,2
isole,2019,955,maschi,febbraio,65_79,2
nord,2019,3925,maschi,febbraio,65_79,2
sud,2019,2007,maschi,febbraio,65_79,2
centro,2020,1505,maschi,febbraio,65_79,2
isole,2020,970,maschi,febbraio,65_79,2
nord,2020,3668,maschi,febbraio,65_79,2
sud,2020,1920,maschi,febbraio,65_79,2
centro,2021,1764,maschi,febbraio,65_79,2
isole,2021,982,maschi,febbraio,65_79,2
nord,2021,3966,maschi,febbraio,65_79,2
sud,2021,2192,maschi,febbraio,65_79,2
centro,2022,1607,maschi,febbraio,65_79,2
isole,2022,1136,maschi,febbraio,65_79,2
nord,2022,3791,maschi,febbraio,65_79,2
sud,2022,2123,maschi,febbraio,65_79,2
centro,2023,1626,maschi,febbraio,65_79,2
isole,2023,1040,maschi,febbraio,65_79,2
nord,2023,3528,maschi,febbraio,65_79,2
sud,2023,2127,maschi,febbraio,65_79,2
centro,2024,1452,maschi,febbraio,65_79,2
isole,2024,979,maschi,febbraio,65_79,2
nord,2024,3276,maschi,febbraio,65_79,2
sud,2024,1993,maschi,febbraio,65_79,2
centro,2015,3397,maschi,febbraio,80_plus,2
isole,2015,1732,maschi,febbraio,80_plus,2
nord,2015,7341,maschi,febbraio,80_plus,2
sud,2015,3255,maschi,febbraio,80_plus,2
centro,2016,2850,maschi,febbraio,80_plus,2
isole,2016,1608,maschi,febbraio,80_plus,2
nord,2016,6508,maschi,febbraio,80_plus,2
sud,2016,2943,maschi,febbraio,80_plus,2
centro,2017,3155,maschi,febbraio,80_plus,2
isole,2017,1746,maschi,febbraio,80_plus,2
nord,2017,7002,maschi,febbraio,80_plus,2
sud,2017,3110,maschi,febbraio,80_plus,2
centro,2018,2961,maschi,febbraio,80_plus,2
isole,2018,1635,maschi,febbraio,80_plus,2
nord,2018,6828,maschi,febbraio,80_plus,2
sud,2018,3130,maschi,febbraio,80_plus,2
centro,2019,3253,maschi,febbraio,80_plus,2
isole,2019,1715,maschi,febbraio,80_plus,2
nord,2019,7554,maschi,febbraio,80_plus,2
sud,2019,3196,maschi,febbraio,80_plus,2
