macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,174,589,1818,3623,138,359,1294,5182,181,561,1654,3253,106,359,1055,4721,191,569,1655,3140,102,322,1126,4616,146,494,1443,2902,105,307,1050,4107,164,503,1491,2811,120,311,1001,3987,178,485,1401,2791,111,291,959,4164,173,483,1461,2845,120,305,1028,4143,188,486,1446,2634,84,289,957,3865,138,461,1343,2496,107,285,898,3602,142,486,1415,2729,94,329,955,3779,117,465,1380,2800,97,275,979,3797,144,474,1399,2979,101,299,988,4008
isole,148,386,1171,1982,68,271,809,2863,124,329,955,1715,60,186,684,2408,137,368,1023,1711,77,200,724,2397,100,321,877,1539,59,207,624,2177,122,294,895,1433,60,177,622,1905,129,313,843,1313,61,184,600,2060,137,309,860,1358,80,174,564,1959,110,297,851,1381,64,192,608,1919,102,288,792,1192,59,163,587,1634,124,276,836,1292,73,177,578,1687,103,288,848,1462,57,172,529,1838,89,300,890,1517,53,189,595,2044
nord,456,1279,4285,7904,241,818,2747,11956,428,1183,3925,7554,223,712,2551,11318,419,1198,3699,6998,234,743,2532,10704,365,1063,3467,6351,217,650,2227,9263,397,1128,3456,6245,227,701,2368,9214,463,1150,3408,6213,207,702,2288,9517,450,1154,3561,6228,228,672,2255,9430,445,1092,3378,5981,229,698,2238,8732,395,1081,3265,5820,230,634,2075,8452,364,1169,3605,6490,218,700,2397,9598,355,1146,3425,6641,208,689,2337,9560,393,1138,3658,7179,213,657,2396,10233
sud,309,835,2379,3833,182,516,1603,5457,266,725,2007,3196,146,451,1464,4791,276,686,1922,3247,153,412,1380,4792,232,615,1695,2955,126,394,1150,4115,221,557,1791,2821,130,382,1121,3833,263,636,1723,2806,121,395,1145,4043,225,618,1706,2795,140,381,1153,3969,255,636,1638,2697,134,360,1087,3801,210,563,1584,2501,127,344,1017,3388,193,604,1611,2609,138,369,1072,3594,206,603,1644,2769,109,407,1093,3795,216,649,1804,3042,121,380,1131,4159
