macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,175,595,1812,3806,91,380,1282,5526,146,563,1626,3440,110,320,1137,4832,171,528,1626,3153,90,349,1110,4707,156,467,1475,2996,91,354,1018,4256,162,499,1451,2919,90,337,1005,4085,143,482,1385,2797,84,287,923,3929,204,536,1495,3085,93,335,1138,4571,149,535,1521,2991,101,320,1060,4292,149,464,1365,2850,97,321,985,3939,133,487,1506,2952,84,280,1055,3991,167,491,1494,3226,86,318,1128,4349,180,637,1881,3980,124,390,1295,5239
isole,117,410,1229,2122,73,233,877,2915,125,373,1040,1854,63,195,700,2752,123,339,1018,1764,63,219,718,2467,115,325,966,1564,52,193,619,2107,95,333,900,1457,59,194,607,1925,116,295,870,1373,61,176,616,1928,174,412,1068,1792,73,256,853,2765,127,355,956,1464,62,206,672,2036,115,314,943,1314,59,186,615,1846,86,307,913,1384,64,230,641,1798,122,337,918,1477,63,192,611,1921,108,384,1150,1889,79,221,770,2489
nord,413,1366,4004,8513,241,774,2840,12437,311,1184,3528,7341,202,631,2394,10536,379,1157,3573,7089,205,716,2427,10444,370,1139,3397,6847,230,653,2348,9629,391,1093,3315,6570,204,633,2233,9278,391,1057,3110,5978,204,668,2157,8647,380,1198,3322,6138,227,714,2267,8745,394,1127,3366,6684,191,737,2280,9705,384,1073,3224,6192,207,656,2172,8799,338,1190,3528,7081,210,704,2362,9637,359,1198,3597,8024,203,752,2458,10573,388,1401,4269,9326,224,840,2900,12744
sud,260,813,2361,4013,158,462,1640,5745,278,710,2127,3631,144,436,1405,5210,236,714,2016,3295,121,408,1364,4836,224,722,2030,3093,138,425,1328,4337,234,701,1860,2925,139,434,1205,4032,238,630,1701,2696,155,426,1195,3760,300,799,2139,3367,122,436,1471,5187,220,638,1865,2928,127,415,1269,4006,234,634,1776,2638,120,393,1172,3744,215,653,1822,2836,113,377,1196,3848,205,694,1955,3057,110,420,1287,4142,257,808,2372,3915,148,518,1570,5214
