macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,210,615,2148,4316,119,457,1490,6482,190,506,1697,3155,114,297,1099,4634,195,501,1715,3077,140,331,1178,4505,186,498,1491,2648,121,272,992,3844,197,525,1645,2877,122,338,1132,4244,193,478,1471,2752,111,317,990,3863,184,443,1389,2434,90,325,992,3729,190,528,1526,2917,114,291,1050,4712,185,489,1436,2583,118,326,1027,3571,192,497,1586,2875,128,315,1159,3997,179,484,1589,2988,114,302,1062,4058,160,470,1539,3109,97,256,1106,4321
isole,122,377,1200,2088,84,212,846,2860,141,337,994,1746,60,204,703,2451,129,343,996,1747,79,215,735,2281,105,258,792,1303,63,161,602,1937,138,340,1012,1547,73,183,685,2014,129,285,863,1335,72,178,566,1768,147,327,832,1349,82,174,591,1885,148,319,962,1571,88,184,714,2337,130,301,840,1168,67,179,601,1659,126,319,895,1369,73,190,591,1790,112,324,954,1478,73,185,619,1870,107,324,903,1658,57,196,633,2271
nord,478,1356,4821,9255,248,859,3308,14480,410,1192,3984,7002,253,733,2651,11324,445,1188,4122,6853,277,748,2696,10787,373,1007,3332,5566,234,598,2215,8578,436,1207,4016,6536,232,716,2654,9927,459,1095,3393,5721,233,636,2348,8531,420,1067,3419,5444,225,644,2255,8203,495,1174,3602,5851,255,650,2439,9167,416,1052,3359,5371,247,678,2247,8206,400,1160,3707,6645,282,702,2404,9643,368,1100,3733,6624,229,717,2498,9392,338,1112,3596,6648,215,675,2432,9919
sud,310,904,2529,4357,199,494,1780,6619,262,613,1899,3110,144,416,1323,4580,282,723,2072,3213,160,429,1346,4690,238,651,1719,2639,132,339,1152,3773,264,734,1932,2969,170,421,1279,4099,235,603,1736,2469,166,327,1103,3754,299,637,1684,2626,169,357,1217,3782,291,675,1819,2991,166,377,1301,4635,228,647,1810,2474,142,381,1178,3454,265,710,1806,2808,131,415,1196,3798,240,662,1858,3021,153,382,1184,3887,209,643,1902,3141,123,391,1239,4420
