macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,181,658,2138,4078,109,379,1317,5627,152,563,1764,3322,91,343,1149,4555,160,664,1994,3859,106,408,1334,5029,193,686,1997,3462,118,349,1291,4677,182,586,1707,2963,92,345,1116,4083,175,549,1466,2850,98,320,1032,4057,170,479,1493,3026,107,317,1064,4290,195,496,1584,3139,115,344,1061,4664,187,539,1424,2825,97,321,993,4052,178,464,1468,3164,99,338,1032,4423,153,468,1526,3078,95,312,1065,4404,165,554,1782,3689,108,379,1212,5150
isole,137,398,1348,2107,74,227,804,2923,99,381,982,1673,71,222,668,2221,129,351,1042,1752,75,222,695,2355,115,411,1091,1654,61,251,693,2310,113,338,999,1540,62,216,674,1957,122,335,915,1528,52,204,648,2146,126,336,922,1560,72,235,639,2226,145,416,1032,1814,62,261,801,2721,114,395,916,1394,74,207,622,1991,117,392,904,1444,64,185,636,1968,104,336,907,1499,60,228,682,2062,131,395,1140,1955,70,211,756,2699
nord,416,1563,5073,9864,254,850,3095,14125,341,1267,3966,7426,197,679,2501,10503,370,1468,5181,8952,252,856,3130,11660,353,1436,4787,7862,226,789,2904,10281,445,1255,3827,6422,216,714,2512,9281,390,1114,3279,6170,210,644,2259,9034,421,1163,3382,6271,223,681,2309,9254,396,1178,3471,6408,220,659,2254,9460,388,1121,3326,6434,223,684,2198,9005,393,1136,3516,7054,239,734,2388,10105,388,1170,3539,7176,214,671,2412,10406,415,1370,4281,8626,238,802,2929,12278
sud,260,909,2409,3941,167,483,1605,5563,239,787,2192,3375,120,455,1412,4690,270,956,2721,3896,148,552,1741,5215,255,958,2607,3567,136,488,1769,4758,271,790,2134,2976,135,443,1459,4171,252,673,1827,3091,131,449,1227,4302,244,702,1866,3072,156,436,1273,4515,293,754,1808,3274,136,455,1314,5060,246,725,1783,2855,147,425,1229,4035,267,690,1887,2999,139,414,1256,3982,215,689,1857,2975,143,420,1231,4129,233,782,2229,3510,132,459,1582,5261
