macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,197,522,1693,3518,99,303,1147,4886,145,483,1505,3032,106,302,1048,4328,162,603,1964,3913,113,314,1214,5052,152,559,1713,3329,110,319,1101,4671,152,484,1456,2688,104,303,1018,3796,175,490,1394,2547,98,288,967,3778,157,491,1474,2865,88,327,1080,4156,177,479,1486,2998,100,292,1045,4475,142,436,1400,2743,96,340,1005,3925,166,584,1653,3507,125,367,1135,4692,184,715,2256,4352,113,339,1305,5670,151,639,1999,3927,92,396,1345,5396
isole,132,363,1032,1808,65,231,714,2550,145,321,970,1575,65,197,613,2121,123,325,1069,1798,60,214,691,2517,80,319,910,1532,69,185,615,2273,104,320,872,1368,66,194,592,1919,106,295,765,1245,47,177,528,1796,109,334,836,1359,75,196,588,2018,100,349,904,1534,72,202,642,2289,84,320,824,1297,67,219,586,1838,120,402,1018,1635,66,221,648,2093,131,444,1335,2034,56,225,799,2584,135,407,1302,2033,72,233,791,2690
nord,406,1219,3939,7602,240,815,2524,11195,387,1111,3668,7018,227,688,2434,10605,478,2207,9261,14977,268,1020,4691,19135,398,1669,5863,11331,218,837,3629,17714,399,1236,3698,6567,223,686,2460,10270,358,1112,3268,5928,219,668,2179,9123,407,1066,3452,6220,241,670,2154,9297,378,1186,3448,6450,219,694,2285,9725,386,1092,3313,6173,212,650,2276,8972,395,1245,4136,8112,203,762,2623,11110,427,1652,5984,11843,237,820,3429,15361,407,1620,5697,10686,233,839,3376,15621
sud,267,771,2170,3650,144,464,1393,5098,233,728,1920,3187,120,423,1196,4522,245,771,2165,3503,149,426,1411,4884,249,704,2026,3186,113,390,1248,4461,214,656,1673,2764,117,419,1146,3878,219,650,1641,2687,139,375,1056,3726,250,653,1780,2795,127,408,1165,4057,261,689,1773,3007,127,402,1156,4277,203,665,1752,2638,120,375,1148,3590,239,763,2082,3247,133,450,1356,4280,269,973,2901,4201,153,544,1690,5277,252,915,2580,3896,169,545,1603,5234
