macroarea,maschi_0_49_gennaio,maschi_50_64_gennaio,maschi_65_79_gennaio,maschi_80_plus_gennaio,femmine_0_49_gennaio,femmine_50_64_gennaio,femmine_65_79_gennaio,femmine_80_plus_gennaio,maschi_0_49_febbraio,maschi_50_64_febbraio,maschi_65_79_febbraio,maschi_80_plus_febbraio,femmine_0_49_febbraio,femmine_50_64_febbraio,femmine_65_79_febbraio,femmine_80_plus_febbraio,maschi_0_49_marzo,maschi_50_64_marzo,maschi_65_79_marzo,maschi_80_plus_marzo,femmine_0_49_marzo,femmine_50_64_marzo,femmine_65_79_marzo,femmine_80_plus_marzo,maschi_0_49_aprile,maschi_50_64_aprile,maschi_65_79_aprile,maschi_80_plus_aprile,femmine_0_49_aprile,femmine_50_64_aprile,femmine_65_79_aprile,femmine_80_plus_aprile,maschi_0_49_maggio,maschi_50_64_maggio,maschi_65_79_maggio,maschi_80_plus_maggio,femmine_0_49_maggio,femmine_50_64_maggio,femmine_65_79_maggio,femmine_80_plus_maggio,maschi_0_49_giugno,maschi_50_64_giugno,maschi_65_79_giugno,maschi_80_plus_giugno,femmine_0_49_giugno,femmine_50_64_giugno,femmine_65_79_giugno,femmine_80_plus_giugno,maschi_0_49_luglio,maschi_50_64_luglio,maschi_65_79_luglio,maschi_80_plus_luglio,femmine_0_49_luglio,femmine_50_64_luglio,femmine_65_79_luglio,femmine_80_plus_luglio,maschi_0_49_agosto,maschi_50_64_agosto,maschi_65_79_agosto,maschi_80_plus_agosto,femmine_0_49_agosto,femmine_50_64_agosto,femmine_65_79_agosto,femmine_80_plus_agosto,maschi_0_49_settembre,maschi_50_64_settembre,maschi_65_79_settembre,maschi_80_plus_settembre,femmine_0_49_settembre,femmine_50_64_settembre,femmine_65_79_settembre,femmine_80_plus_settembre,maschi_0_49_ottobre,maschi_50_64_ottobre,maschi_65_79_ottobre,maschi_80_plus_ottobre,femmine_0_49_ottobre,femmine_50_64_ottobre,femmine_65_79_ottobre,femmine_80_plus_ottobre,maschi_0_49_novembre,maschi_50_64_novembre,maschi_65_79_novembre,maschi_80_plus_novembre,femmine_0_49_novembre,femmine_50_64_novembre,femmine_65_79_novembre,femmine_80_plus_novembre,maschi_0_49_dicembre,maschi_50_64_dicembre,maschi_65_79_dicembre,maschi_80_plus_dicembre,femmine_0_49_dicembre,femmine_50_64_dicembre,femmine_65_79_dicembre,femmine_80_plus_dicembre
centro,215,599,1911,3569,137,423,1308,5420,175,503,1550,2961,116,333,1118,4410,182,509,1666,3255,127,292,1135,4748,168,491,1437,2741,114,313,943,3957,178,460,1548,2770,114,298,1076,3884,161,471,1388,2376,112,312,898,3478,162,460,1473,2641,121,300,936,3793,186,481,1402,2688,95,296,1007,4024,146,433,1389,2433,89,307,925,3467,192,543,1562,2958,116,305,1106,4170,176,462,1464,2884,96,283,1012,4091,171,513,1468,3076,85,296,1025,4326
isole,173,403,1214,1898,112,281,860,2729,119,392,986,1635,70,215,705,2356,139,330,1065,1664,74,209,702,2384,129,351,836,1456,57,208,579,2047,123,282,898,1305,82,205,613,1872,122,282,870,1209,59,184,521,1686,129,305,858,1326,67,198,570,1838,126,277,794,1307,66,182,564,1764,115,276,772,1206,73,154,554,1600,99,300,843,1357,68,177,632,1938,121,318,868,1453,59,171,542,1894,95,310,858,1515,61,192,598,1979
nord,521,1470,4737,8513,343,858,3130,13478,440,1238,3946,6828,243,746,2610,10751,435,1225,4037,7184,230,725,2663,11009,398,1078,3473,5886,258,670,2253,9228,414,1247,3714,6239,279,721,2404,9295,414,1135,3385,5421,204,656,2236,8187,420,1048,3251,5660,232,674,2225,8731,448,1189,3600,6512,271,697,2396,9740,371,1079,3221,5388,231,673,2105,8363,401,1191,4016,6825,242,714,2563,10131,407,1100,3547,6349,239,686,2294,9438,371,1115,3567,6653,206,636,2382,9776
sud,362,835,2373,3811,185,503,1653,5591,256,694,1910,3130,145,429,1325,4448,271,723,2022,3154,169,417,1293,4555,288,666,1747,2698,134,358,1140,3928,261,679,1812,2818,148,421,1191,3874,278,550,1563,2389,132,340,1049,3392,256,617,1649,2495,138,410,1080,3619,279,626,1668,2635,134,396,1135,3641,235,607,1650,2340,151,343,1082,3382,278,675,1810,2864,147,400,1213,3960,236,604,1803,2849,147,372,1169,4016,219,673,1817,3057,117,379,1184,4293
